,precision,recall,f1-score,support
0,0.8410117434507678,0.95,0.8921897460469573,980.0
1,0.8967527060782681,0.9488986784140969,0.9220890410958904,1135.0
2,0.8136574074074074,0.6812015503875969,0.741561181434599,1032.0
3,0.6666666666666666,0.8158415841584158,0.7337488869100623,1010.0
4,0.7921635434412265,0.9470468431771895,0.862708719851577,982.0
5,0.6963788300835655,0.5605381165919282,0.6211180124223602,892.0
6,0.8399228543876567,0.9091858037578288,0.8731829573934837,958.0
7,0.8195970695970696,0.8706225680933852,0.8443396226415094,1028.0
8,0.7728459530026109,0.6078028747433265,0.6804597701149425,974.0
9,0.8732919254658386,0.6967294350842418,0.7750826901874311,1009.0
accuracy,0.8026,0.8026,0.8026,0.8026
macro avg,0.8012288699581077,0.798786745440801,0.7946480628098813,10000.0
weighted avg,0.8035203516920927,0.8026,0.7977828413514019,10000.0
