[2023-04-04 19:56:15,458][train.py][line:18][INFO] Start trainning......
[2023-04-04 19:56:23,872][train.py][line:53][INFO] Epoch:[1/5]	 loss=0.90575	 acc=0.600
[2023-04-04 19:56:29,716][train.py][line:53][INFO] Epoch:[2/5]	 loss=0.41506	 acc=0.867
[2023-04-04 19:56:35,512][train.py][line:53][INFO] Epoch:[3/5]	 loss=0.54261	 acc=0.867
[2023-04-04 19:56:41,496][train.py][line:53][INFO] Epoch:[4/5]	 loss=0.28245	 acc=0.933
[2023-04-04 19:56:47,311][train.py][line:53][INFO] Epoch:[5/5]	 loss=0.44167	 acc=0.933
[2023-04-04 19:56:47,312][train.py][line:58][INFO] Finish training!
[2023-04-04 19:56:50,729][test.py][line:11][INFO] Start testing...
[2023-04-04 19:56:50,749][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0347, Test Acc: 1.0000
[2023-04-04 19:56:50,761][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0897, Test Acc: 1.0000
[2023-04-04 19:56:50,774][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0818, Test Acc: 1.0000
[2023-04-04 19:56:50,791][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0995, Test Acc: 1.0000
[2023-04-04 19:56:50,809][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0491, Test Acc: 1.0000
[2023-04-04 19:56:50,828][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0701, Test Acc: 1.0000
[2023-04-04 19:56:50,841][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1352, Test Acc: 0.9688
[2023-04-04 19:56:50,854][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1491, Test Acc: 0.9688
[2023-04-04 19:56:50,868][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2368, Test Acc: 0.9688
[2023-04-04 19:56:50,881][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2109, Test Acc: 0.9062
[2023-04-04 19:56:50,894][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2817, Test Acc: 0.9062
[2023-04-04 19:56:50,910][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0682, Test Acc: 1.0000
[2023-04-04 19:56:50,923][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0960, Test Acc: 0.9688
[2023-04-04 19:56:50,969][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2322, Test Acc: 0.9062
[2023-04-04 19:56:50,980][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1837, Test Acc: 0.9375
[2023-04-04 19:56:50,990][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1190, Test Acc: 0.9688
[2023-04-04 19:56:51,002][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1148, Test Acc: 0.9688
[2023-04-04 19:56:51,013][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1735, Test Acc: 0.9375
[2023-04-04 19:56:51,023][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2126, Test Acc: 0.9375
[2023-04-04 19:56:51,037][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0787, Test Acc: 1.0000
[2023-04-04 19:56:51,047][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1372, Test Acc: 0.9375
[2023-04-04 19:56:51,057][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1495, Test Acc: 0.9062
[2023-04-04 19:56:51,070][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2003, Test Acc: 0.9375
[2023-04-04 19:56:51,080][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0935, Test Acc: 0.9688
[2023-04-04 19:56:51,091][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0534, Test Acc: 1.0000
[2023-04-04 19:56:51,103][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1390, Test Acc: 0.9688
[2023-04-04 19:56:51,114][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0965, Test Acc: 0.9688
[2023-04-04 19:56:51,128][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1119, Test Acc: 0.9375
[2023-04-04 19:56:51,140][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2120, Test Acc: 0.9375
[2023-04-04 19:56:51,151][test.py][line:49][INFO] current batch testing result... Test Loss: 0.3733, Test Acc: 0.8438
[2023-04-04 19:56:51,162][test.py][line:49][INFO] current batch testing result... Test Loss: 0.3071, Test Acc: 0.9375
[2023-04-04 19:56:51,174][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2388, Test Acc: 0.9688
[2023-04-04 19:56:51,186][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1741, Test Acc: 0.9375
[2023-04-04 19:56:51,198][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1966, Test Acc: 0.9062
[2023-04-04 19:56:51,209][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2672, Test Acc: 0.9062
[2023-04-04 19:56:51,220][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0950, Test Acc: 0.9688
[2023-04-04 19:56:51,231][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1678, Test Acc: 0.9062
[2023-04-04 19:56:51,242][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1442, Test Acc: 0.9688
[2023-04-04 19:56:51,253][test.py][line:49][INFO] current batch testing result... Test Loss: 0.5801, Test Acc: 0.8750
[2023-04-04 19:56:51,264][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1338, Test Acc: 0.9688
[2023-04-04 19:56:51,273][test.py][line:49][INFO] current batch testing result... Test Loss: 0.2345, Test Acc: 0.9062
[2023-04-04 19:56:51,285][test.py][line:49][INFO] current batch testing result... Test Loss: 0.3182, Test Acc: 0.9062
[2023-04-04 19:56:51,294][test.py][line:49][INFO] current batch testing result... Test Loss: 0.0792, Test Acc: 1.0000
[2023-04-04 19:56:51,304][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1312, Test Acc: 0.9688
[2023-04-04 19:56:51,313][test.py][line:49][INFO] current batch testing result... Test Loss: 0.1622, Test Acc: 0.9375
