[2023-04-18 22:20:45,517][train.py][line:18][INFO] Start trainning......
[2023-04-18 22:21:03,158][train.py][line:53][INFO] Epoch:[1/5]	 loss=0.08911	 acc=1.000
[2023-04-18 22:21:19,607][train.py][line:53][INFO] Epoch:[2/5]	 loss=0.17974	 acc=0.933
[2023-04-18 22:21:35,969][train.py][line:53][INFO] Epoch:[3/5]	 loss=0.08100	 acc=1.000
[2023-04-18 22:21:52,408][train.py][line:53][INFO] Epoch:[4/5]	 loss=0.23446	 acc=0.933
[2023-04-18 22:22:08,689][train.py][line:53][INFO] Epoch:[5/5]	 loss=0.18212	 acc=0.933
[2023-04-18 22:22:08,690][train.py][line:58][INFO] Finish training!
[2023-04-18 22:22:08,971][test.py][line:12][INFO] Start testing...
[2023-04-18 22:22:08,984][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0623, Test Acc: 0.9688
[2023-04-18 22:22:08,992][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0258, Test Acc: 1.0000
[2023-04-18 22:22:09,000][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0024, Test Acc: 1.0000
[2023-04-18 22:22:09,008][test.py][line:56][INFO] current batch testing result... Test Loss: 0.2168, Test Acc: 0.9375
[2023-04-18 22:22:09,016][test.py][line:56][INFO] current batch testing result... Test Loss: 0.1062, Test Acc: 0.9688
[2023-04-18 22:22:09,024][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0107, Test Acc: 1.0000
[2023-04-18 22:22:09,033][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0320, Test Acc: 1.0000
[2023-04-18 22:22:09,040][test.py][line:56][INFO] current batch testing result... Test Loss: 0.3336, Test Acc: 0.9062
[2023-04-18 22:22:09,049][test.py][line:56][INFO] current batch testing result... Test Loss: 0.1416, Test Acc: 0.9375
[2023-04-18 22:22:09,057][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0171, Test Acc: 1.0000
[2023-04-18 22:22:09,065][test.py][line:56][INFO] current batch testing result... Test Loss: 0.3288, Test Acc: 0.9375
[2023-04-18 22:22:09,073][test.py][line:56][INFO] current batch testing result... Test Loss: 0.1978, Test Acc: 0.9688
[2023-04-18 22:22:09,082][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0386, Test Acc: 1.0000
