,precision,recall,f1-score,support
0,0.969061876247505,0.9908163265306122,0.9798183652875883,980.0
1,0.9912203687445127,0.9947136563876652,0.9929639401934917,1135.0
2,0.9852652259332023,0.9718992248062015,0.9785365853658536,1032.0
3,0.9811320754716981,0.9782178217821782,0.9796727813584531,1010.0
4,0.9841437632135307,0.9480651731160896,0.9657676348547718,982.0
5,0.963855421686747,0.9865470852017937,0.9750692520775622,892.0
6,0.9861702127659574,0.9676409185803758,0.9768177028451,958.0
7,0.9909819639278558,0.9620622568093385,0.9763079960513328,1028.0
8,0.9675456389452333,0.9794661190965093,0.9734693877551021,974.0
9,0.9352997145575642,0.9742319127849356,0.954368932038835,1009.0
accuracy,0.9755,0.9755,0.9755,0.9755
macro avg,0.9754676261493807,0.97536604950957,0.9752792577828091,10000.0
weighted avg,0.9758228465326185,0.9755,0.975525434101865,10000.0
