,precision,recall,f1-score,support
0,0.9837232960325534,0.986734693877551,0.9852266938359654,980.0
1,0.9876977152899824,0.9903083700440528,0.9890013198416191,1135.0
2,0.9637750238322211,0.9796511627906976,0.9716482460355598,1032.0
3,0.9402843601895735,0.9821782178217822,0.9607748184019371,1010.0
4,0.9833506763787722,0.9623217922606925,0.9727225939269172,982.0
5,0.9894736842105263,0.9484304932735426,0.9685174585002863,892.0
6,0.9781931464174455,0.9832985386221295,0.980739198334201,958.0
7,0.9888097660223805,0.9455252918287937,0.9666832421680756,1028.0
8,0.9743589743589743,0.9753593429158111,0.9748589020010261,974.0
9,0.9460500963391136,0.9732408325074331,0.9594528578407425,1009.0
accuracy,0.9731,0.9731,0.9731,0.9731
macro avg,0.9735716739071544,0.9727048735942484,0.972962533088633,10000.0
weighted avg,0.9734845317842824,0.9731,0.9731192403755882,10000.0
