[2023-04-18 22:30:29,553][train.py][line:18][INFO] Start trainning......
[2023-04-18 22:30:46,604][train.py][line:53][INFO] Epoch:[1/5]	 loss=0.10491	 acc=0.938
[2023-04-18 22:31:02,277][train.py][line:53][INFO] Epoch:[2/5]	 loss=0.11373	 acc=0.938
[2023-04-18 22:31:18,055][train.py][line:53][INFO] Epoch:[3/5]	 loss=0.16087	 acc=0.938
[2023-04-18 22:31:35,589][train.py][line:53][INFO] Epoch:[4/5]	 loss=0.05968	 acc=0.969
[2023-04-18 22:31:52,009][train.py][line:53][INFO] Epoch:[5/5]	 loss=0.21331	 acc=0.938
[2023-04-18 22:31:52,009][train.py][line:58][INFO] Finish training!
[2023-04-18 22:31:52,310][test.py][line:12][INFO] Start testing...
[2023-04-18 22:31:52,321][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0005, Test Acc: 1.0000
[2023-04-18 22:31:52,328][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0045, Test Acc: 1.0000
[2023-04-18 22:31:52,335][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0200, Test Acc: 1.0000
[2023-04-18 22:31:52,343][test.py][line:56][INFO] current batch testing result... Test Loss: 0.1316, Test Acc: 0.9375
[2023-04-18 22:31:52,352][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0223, Test Acc: 1.0000
[2023-04-18 22:31:52,364][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0608, Test Acc: 0.9688
[2023-04-18 22:31:52,373][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0023, Test Acc: 1.0000
[2023-04-18 22:31:52,384][test.py][line:56][INFO] current batch testing result... Test Loss: 0.2209, Test Acc: 0.9688
[2023-04-18 22:31:52,392][test.py][line:56][INFO] current batch testing result... Test Loss: 0.1201, Test Acc: 0.9375
[2023-04-18 22:31:52,400][test.py][line:56][INFO] current batch testing result... Test Loss: 0.0111, Test Acc: 1.0000
