,precision,recall,f1-score,support
0,0.786131997,0.960204082,0.864492421,980
1,0.622802042,0.967400881,0.757763975,1135
2,0.641044776,0.832364341,0.724283305,1032
3,0,0,0,1010
4,0.803874092,0.33808554,0.475985663,982
5,0.63740458,0.374439462,0.471751412,892
6,0.533156499,0.629436326,0.577309718,958
7,0.398087268,0.647859922,0.493150685,1028
8,0.783941606,0.551334702,0.647377939,974
9,0.56122449,0.708622398,0.626368813,1009
accuracy,0.6085,0.6085,0.6085,0.6085
macro avg,0.576766735,0.600974765,0.563848393,10000
weighted avg,0.57466494,0.6085,0.566551909,10000
