,precision,recall,f1-score,support
0,0.340772532,0.405102041,0.37016317,980
1,0.365761213,0.510132159,0.426048565,1135
2,0.327536232,0.218992248,0.262485482,1032
3,0,0,0,1010
4,0.252619325,0.220977597,0.235741445,982
5,0.12118019,0.128923767,0.124932102,892
6,0.342465753,0.208768267,0.259403372,958
7,0.25959596,0.25,0.254707631,1028
8,0.21322314,0.264887064,0.236263736,974
9,0.300507614,0.586719524,0.397448808,1009
accuracy,0.2841,0.2841,0.2841,0.2841
macro avg,0.252366196,0.279450267,0.256719431,10000
weighted avg,0.254911672,0.2841,0.260164218,10000
